Name,City,STATE,Greatest Snowfall,GreatestEndingDate,ValidDateRange,1 days QTY,1 days DATE,2 days QTY,2 days DATE,3 days QTY,3 days DATE,First 2 inches
ELY YELLAND FLD AP,Ely,NV,128.4,12/31/2010, 1893-01-01 to 2017-06-06,16,4/7/1900,18,4/8/1900,21.3,1/24/1967,9/20/1895
WINNEMUCCA MUNI AP,Winnemucca,NV,56.2,12/31/1937, 1877-07-01 to 2017-06-06,10.9,01/12/1890,18.2,01/13/1890,18.2,01/14/1890,10/7/1949
RENO TAHOE INTL AP,Reno Tahoe,NV,63.8,12/31/1971, 1937-03-01 to 2017-06-06,18,2/16/1990,21.3,12/31/2004,21.9,2/12/1959,10/16/1984
LA GUARDIA AP,La Guardia,NY,59.7,12/31/1948, 1940-01-01 to 2017-06-06,27.9,1/23/2016,28.2,1/24/2016,28.2,1/25/2016,11/6/1953
ISLIP-LI MACARTHUR AP,Islip,NY,71,12/31/1978, 1963-09-05 to 2017-06-06,23.4,1/23/2016,27.8,2/9/2013,27.8,2/10/2013,11/8/2012
NY CITY CNTRL PARK,Central Park,NY,65,12/31/1948, 1869-01-01 to 2017-06-06,27.3,1/23/2016,27.5,1/23/2016,27.5,1/24/2016,10/29/2011
BINGHAMTON GREATER AP,Binghamton,NY,137.8,12/31/1993, 1951-05-25 to 2017-06-06,31.2,3/14/2017,35.3,3/15/2017,35.5,3/16/2017,10/22/1988
ALBANY INTL AP,Albany,NY,106.7,12/31/1956, 1938-06-01 to 2017-06-06,22,3/13/1993,26.6,3/14/1993,26.8,3/14/1993,10/4/1987
BUFFALO NIAGARA INTL,Buffalo,NY,175.6,12/31/1977, 1939-02-02 to 2017-06-06,33.9,12/10/1995,48.1,12/28/2001,56.1,12/28/2001,10/12/2006
ROCHESTER GTR INTL,Rochester,NY,151.7,12/31/1959, 1926-01-02 to 2017-06-06,23,1/3/1996,26.7,1/31/1966,40.7,3/6/1999,10/25/1930
SYRACUSE HANCOCK INTL AP,Syracuse,NY,207.9,12/31/1993, 1940-08-15 to 2017-06-06,22.1,3/13/1993,42,3/14/1993,42.9,3/15/1993,10/20/1952
JFK INTL AP,JFK International Airport,NY,61.9,12/31/2003, 1948-07-17 to 2017-06-06,30.3,1/23/2016,30.5,1/23/2016,30.6,1/24/2016,11/7/2012
PORT COLUMBUS INTL AP,Port Columbus,OH,49.4,12/31/2003, 1948-01-01 to 2017-06-06,15.5,3/8/2008,20.5,3/8/2008,20.5,3/9/2008,10/30/1993
MANSFIELD LAHM RGNL AP,Mansfield,OH,83,12/31/2010, 1948-08-01 to 2017-06-06,15.2,12/22/2004,23,12/23/2004,23,12/24/2004,10/19/1989
AKRON CANTON AP,Akron,OH,73.6,12/31/2010, 1948-07-01 to 2017-06-06,19.7,4/4/1987,24.3,12/2/1974,24.9,12/3/1974,
YOUNGSTOWN-WARREN RGNL AP,Youngstown,OH,115.4,12/31/2010, 1934-08-01 to 2017-06-06,17.2,1/24/1948,26.5,11/25/1950,27.4,11/26/1950,10/19/1992
CLEVELAND-HOPKINS INTL AP,Cleveland,OH,108.4,12/31/2005, 1938-05-01 to 2017-06-06,13.6,2/23/1993,19.3,11/25/1950,23.1,2/24/1993,10/19/1981
TOLEDO EXPRESS AP,Toledo,OH,77.4,12/31/2014, 1955-01-01 to 2017-06-06,13.9,12/1/1974,13.9,12/2/1974,13.9,12/3/1974,11/2/1966
DAYTON INTL AP,Dayton,OH,52.9,12/31/1978, 1948-01-01 to 2017-06-06,12.2,1/26/1978,16.4,12/23/2004,16.4,12/24/2004,10/19/1989
OKLAHOMA CITY WILL ROGERS AP,Oklahoma City,OK,25,12/31/1960, 1948-01-01 to 2017-06-06,13.5,12/24/2009,13.5,12/25/2009,13.5,12/26/2009,11/16/2014
TULSA INTL AP,Tulsa,OK,29.1,12/31/1958, 1931-01-01 to 2017-06-06,13.2,2/1/2011,14,2/1/2011,14,2/2/2011,11/5/1951
